id,title,link,rating,reviews,guests,bedrooms,beds,baths,years_hosting,price_original,price_discount,nights,total_nights,special_offer,cleaning_fee,service_fee,total
31,,https://www.airbnb.com/rooms/40881273?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3JC5kkjeA7GJxvC&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.88,106,2,1,1,1.5,7,76,76,4,312,0,15,45,363
32,,https://www.airbnb.com/rooms/995576826770178768?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3jUwntOjlFAj2r6&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.89,27,4,2,3,2.5,7,168,168,4,692,0,24,98,793
33,,https://www.airbnb.com/rooms/745158427059187367?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3GAom7Jb2pMEyIb&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.8,45,2,1,1,1,5,189,189,4,756,0,40,112,908
34,,https://www.airbnb.com/rooms/1099983194779606345?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3aqDz05WU0nWXff&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,5.0,4,2,1,2,1.5,12,74,74,4,296,0,20,45,361
35,,https://www.airbnb.com/rooms/884620773014585891?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3dfXyEWR63rCmb5&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.9,52,4,2,3,2,9,120,120,4,480,0,35,73,588
36,,https://www.airbnb.com/rooms/46217105?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3dtKh20bwOWND4y&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.91,23,6,3,3,3,7,245,245,4,980,0,89,151,1
37,,https://www.airbnb.com/rooms/33583908?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3r-nC-wl4meRVOD&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,4.93,46,3,No disponible,1,1,8,89,89,4,357,0,16,53,426
38,,https://www.airbnb.com/rooms/1047295369972497614?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3fOGcZd5rO8iidp&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,0,1,3,2,2,2,0,93,93,4,372,0,0,53,425
39,,https://www.airbnb.com/rooms/966007227859450516?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P38Jy1uuXoU01T84&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,0,2,4,2,2,2.5,12,220,220,4,880,0,50,131,1
40,,https://www.airbnb.com/rooms/1288620169953119482?adults=1&search_mode=regular_search&check_in=2025-01-08&check_out=2025-01-12&source_impression_id=p3_1736099588_P3npU_CbFIrwxZGG&previous_page_section_name=1000&federated_search_id=04262ae8-4ebc-4f16-a1fd-e7829ff5096b,0,1,2,1,1,1,5,99,79,4,396,-79,40,50,407
